Time (s),DIO 0
-49.998966670000001,0
-49.998133340000003,0
-49.997300010000004,0
-49.996466680000005,1
-49.995633349999999,1
-49.99480002,1
-49.993966690000001,1
-49.993133360000002,1
-49.992300030000003,1
-49.991466700000004,1
-49.990633370000005,1
-49.989800039999999,1
-49.98896671,1
-49.988133380000001,0
-49.987300050000002,0
-49.986466720000003,0
-49.985633390000004,0
-49.984800059999998,0
-49.983966729999999,0
-49.9831334,0
-49.982300070000001,0
-49.981466740000002,0
-49.980633410000003,0
-49.979800080000004,1
-49.978966749999998,1
-49.978133419999999,1
-49.97730009,1
-49.976466760000001,1
-49.975633430000002,1
-49.974800100000003,1
-49.973966770000004,1
-49.973133439999998,1
-49.972300109999999,1
-49.97146678,0
-49.970633450000001,0
-49.969800120000002,0
-49.968966790000003,0
-49.968133460000004,0
-49.967300129999998,0
-49.966466799999999,0
-49.96563347,0
-49.964800140000001,0
-49.963966810000002,0
-49.963133480000003,1
-49.962300150000004,1
-49.961466819999998,1
-49.960633489999999,1
-49.95980016,1
-49.958966830000001,1
-49.958133500000002,1
-49.957300170000003,1
-49.956466840000004,1
-49.955633509999998,1
-49.954800179999999,0
-49.95396685,0
-49.953133520000002,0
-49.952300190000003,0
-49.951466860000004,0
-49.950633530000005,0
-49.949800199999999,0
-49.94896687,0
-49.948133540000001,0
-49.947300210000002,0
-49.946466880000003,1
-49.945633550000004,1
-49.944800220000005,1
-49.943966889999999,1
-49.94313356,1
-49.942300230000001,1
-49.941466900000002,1
-49.940633570000003,1
-49.939800240000004,1
-49.938966909999998,1
-49.938133579999999,0
-49.93730025,0
-49.936466920000001,0
-49.935633590000002,0
-49.934800260000003,0
-49.933966930000004,0
-49.933133599999998,0
-49.932300269999999,0
-49.93146694,0
-49.930633610000001,0
-49.929800280000002,1
-49.928966950000003,1
-49.928133620000004,1
-49.927300289999998,1
-49.926466959999999,1
-49.92563363,1
-49.924800300000001,1
-49.923966970000002,1
-49.923133640000003,1
-49.922300310000004,1
-49.921466979999998,0
-49.920633649999999,0
-49.91980032,0
-49.918966990000001,0
-49.918133660000002,0
-49.917300330000003,0
-49.916467000000004,0
-49.915633669999998,0
-49.914800339999999,0
-49.91396701,0
-49.913133680000001,1
-49.912300350000002,1
-49.911467020000003,1
-49.910633690000004,1
-49.909800359999998,1
-49.908967029999999,1
-49.9081337,1
-49.907300370000002,1
-49.906467040000003,1
-49.905633710000004,1
-49.904800380000005,0
-49.903967049999999,0
-49.90313372,0
-49.902300390000001,0
-49.901467060000002,0
-49.900633730000003,0
-49.899800400000004,0
-49.898967070000005,0
-49.898133739999999,0
-49.89730041,0
-49.896467080000001,1
-49.895633750000002,1
-49.894800420000003,1
-49.893967090000004,1
-49.893133759999998,1
-49.892300429999999,1
-49.8914671,1
-49.890633770000001,1
-49.889800440000002,1
-49.888967110000003,1
-49.888133780000004,0
-49.887300449999998,0
-49.886467119999999,0
-49.88563379,0
-49.884800460000001,0
-49.883967130000002,0
-49.883133800000003,0
-49.882300470000004,0
-49.881467139999998,0
-49.880633809999999,0
-49.87980048,1
-49.878967150000001,1
-49.878133820000002,1
-49.877300490000003,1
-49.876467160000004,1
-49.875633829999998,1
-49.874800499999999,1
-49.87396717,1
-49.873133840000001,1
-49.872300510000002,1
-49.871467180000003,0
-49.870633850000004,0
-49.869800519999998,0
-49.868967189999999,0
-49.86813386,0
-49.867300530000001,0
-49.866467200000002,0
-49.865633870000003,0
-49.864800540000005,0
-49.863967209999998,0
-49.863133879999999,1
-49.86230055,1
-49.861467220000002,1
-49.860633890000003,1
-49.859800560000004,1
-49.858967230000005,1
-49.858133899999999,1
-49.85730057,1
-49.856467240000001,1
-49.855633910000002,1
-49.854800580000003,0
-49.853967250000004,0
-49.853133920000005,0
-49.852300589999999,0
-49.85146726,0
-49.850633930000001,0
-49.849800600000002,0
-49.848967270000003,0
-49.848133940000004,0
-49.847300609999998,0
-49.846467279999999,1
-49.84563395,1
-49.844800620000001,1
-49.843967290000002,1
-49.843133960000003,1
-49.842300630000004,1
-49.841467299999998,1
-49.840633969999999,1
-49.83980064,1
-49.838967310000001,1
-49.838133980000002,0
-49.837300650000003,0
-49.836467320000004,0
-49.835633989999998,0
-49.834800659999999,0
-49.83396733,0
-49.833134000000001,0
-49.832300670000002,0
-49.831467340000003,0
-49.830634010000004,0
-49.829800679999998,1
-49.828967349999999,1
-49.82813402,1
-49.827300690000001,1
-49.826467360000002,1
-49.825634030000003,1
-49.824800700000004,1
-49.823967369999998,1
-49.823134039999999,1
-49.82230071,1
-49.821467380000001,0
-49.820634050000002,0
-49.819800720000003,0
-49.818967390000005,0
-49.818134059999998,0
-49.817300729999999,0
-49.816467400000001,0
-49.815634070000002,0
-49.814800740000003,0
-49.813967410000004,0
-49.813134080000005,1
-49.812300749999999,1
-49.81146742,1
-49.810634090000001,1
-49.809800760000002,1
-49.808967430000003,1
-49.808134100000004,1
-49.807300770000005,1
-49.806467439999999,1
-49.80563411,1
-49.804800780000001,0
-49.803967450000002,0
-49.803134120000003,0
-49.802300790000004,0
-49.801467459999998,0
-49.800634129999999,0
-49.7998008,0
-49.798967470000001,0
-49.798134140000002,0
-49.797300810000003,0
-49.796467480000004,1
-49.795634149999998,1
-49.794800819999999,1
-49.79396749,1
-49.793134160000001,1
-49.792300830000002,1
-49.791467500000003,1
-49.790634170000004,1
-49.789800839999998,1
-49.788967509999999,1
-49.78813418,0
-49.787300850000001,0
-49.786467520000002,0
-49.785634190000003,0
-49.784800860000004,0
-49.783967529999998,0
-49.783134199999999,0
-49.78230087,0
-49.781467540000001,0
-49.780634210000002,0
-49.779800880000003,1
-49.778967550000004,1
-49.778134219999998,1
-49.777300889999999,1
-49.77646756,1
-49.775634230000001,1
-49.774800900000002,1
-49.773967570000003,1
-49.773134240000005,1
-49.772300909999998,1
-49.771467579999999,0
-49.770634250000001,0
-49.769800920000002,0
-49.768967590000003,0
-49.768134260000004,0
-49.767300930000005,0
-49.766467599999999,0
-49.76563427,0
-49.764800940000001,0
-49.763967610000002,0
-49.763134280000003,1
-49.762300950000004,1
-49.761467619999998,1
-49.760634289999999,1
-49.75980096,1
-49.758967630000001,1
-49.758134300000002,1
-49.757300970000003,1
-49.756467640000004,1
-49.755634309999998,1
-49.754800979999999,0
-49.75396765,0
-49.753134320000001,0
-49.752300990000002,0
-49.751467660000003,0
-49.750634330000004,0
-49.749800999999998,0
-49.748967669999999,0
-49.74813434,0
-49.747301010000001,0
-49.746467680000002,1
-49.745634350000003,1
-49.744801020000004,1
-49.743967689999998,1
-49.743134359999999,1
-49.74230103,1
-49.741467700000001,1
-49.740634370000002,1
-49.739801040000003,1
-49.738967710000004,1
-49.738134379999998,0
-49.737301049999999,0
-49.73646772,0
-49.735634390000001,0
-49.734801060000002,0
-49.733967730000003,0
-49.733134400000004,0
-49.732301069999998,0
-49.731467739999999,0
