RiseTime,SettlingMax,SettlingMin,SettlingTime,Peak,PeakTime,Overshoot,Undershoot
0.11919,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.11919,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.12086,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.12002,0.81553,0.81553,0.19657,0.81553,0.19667,0,-0
0.076943,0.67042,0.67042,0.16328,0.67042,0.16333,0,-0
0.12002,0.81553,0.81553,0.19824,0.81553,0.19833,0,-0
0.12086,0.81553,0.81553,0.19824,0.81553,0.19833,0,-0
0.11419,0.81553,0.81553,0.19824,0.81553,0.19833,0,-0
0.11919,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.11919,0.81553,0.81553,0.19824,0.81553,0.19833,0,-0
0.11919,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.12086,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.11336,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.12086,0.81553,0.81553,0.19907,0.81553,0.19917,0,-0
0.11336,0.81553,0.81553,0.19157,0.81553,0.19167,0,-0
0.12086,0.81553,0.81553,0.19907,0.81553,0.19917,0,-0
0.11336,0.81553,0.81553,0.19157,0.81553,0.19167,0,-0
0.12086,0.81553,0.81553,0.19907,0.81553,0.19917,0,-0
0.11502,0.81553,0.81553,0.19324,0.81553,0.19333,0,-0
0.11919,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.11502,0.81553,0.81553,0.19324,0.81553,0.19333,0,-0
0.11836,0.81553,0.81553,0.19824,0.81553,0.19833,0,-0
0.11752,0.81553,0.81553,0.19407,0.81553,0.19417,0,-0
0.12002,0.81553,0.81553,0.19824,0.81553,0.19833,0,-0
0.11502,0.81553,0.81553,0.19407,0.81553,0.19417,0,-0
0.11919,0.81553,0.81553,0.19824,0.81553,0.19833,0,-0
0.11252,0.81553,0.81553,0.19324,0.81553,0.19333,0,-0
0.12086,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.11752,0.81553,0.81553,0.19574,0.81553,0.19583,0,-0
0.12086,0.81553,0.81553,0.19907,0.81553,0.19917,0,-0
0.11919,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.11669,0.81553,0.81553,0.19907,0.81553,0.19917,0,-0
0.11919,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.077776,0.67042,0.67042,0.15828,0.67042,0.15833,0,-0
0.11919,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.12086,0.81553,0.81553,0.19907,0.81553,0.19917,0,-0
0.11336,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.12086,0.81553,0.81553,0.19907,0.81553,0.19917,0,-0
0.11919,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.084443,0.67042,0.67042,0.16244,0.67042,0.1625,0,-0
0.11419,0.81553,0.81553,0.19241,0.81553,0.1925,0,-0
0.073609,0.67042,0.67042,0.15744,0.67042,0.1575,0,-0
0.078609,0.67042,0.67042,0.17078,0.67042,0.17083,0,-0
0.099443,0.67042,0.67042,0.17244,0.67042,0.1725,0,-0
0.11919,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.076943,0.67042,0.67042,0.17578,0.67042,0.17583,0,-0
0.11502,0.81553,0.81553,0.19324,0.81553,0.19333,0,-0
0.11669,0.81553,0.81553,0.19324,0.81553,0.19333,0,-0
0.11669,0.81553,0.81553,0.19324,0.81553,0.19333,0,-0
0.11836,0.81553,0.81553,0.19241,0.81553,0.1925,0,-0
0.11336,0.81553,0.81553,0.19574,0.81553,0.19583,0,-0
0.11419,0.81553,0.81553,0.19241,0.81553,0.1925,0,-0
0.11669,0.81553,0.81553,0.19241,0.81553,0.1925,0,-0
0.11586,0.81553,0.81553,0.19407,0.81553,0.19417,0,-0
0.11919,0.81553,0.81553,0.19324,0.81553,0.19333,0,-0
0.11502,0.81553,0.81553,0.19407,0.81553,0.19417,0,-0
0.077776,0.67042,0.67042,0.15828,0.67042,0.15833,0,-0
0.087776,0.67042,0.67042,0.16411,0.67042,0.16417,0,-0
0.11694,0.67042,0.67042,0.19494,0.67042,0.195,0,-0
0.10361,0.67042,0.67042,0.19161,0.67042,0.19167,0,-0
0.078609,0.67042,0.67042,0.19578,0.67042,0.19583,0,-0
0.078609,0.67042,0.67042,0.18161,0.67042,0.18167,0,-0
0.11336,0.81553,0.81553,0.19157,0.81553,0.19167,0,-0
0.11919,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.11586,0.81553,0.81553,0.19407,0.81553,0.19417,0,-0
0.081109,0.67042,0.67042,0.15911,0.67042,0.15917,0,-0
0.11586,0.81553,0.81553,0.19241,0.81553,0.1925,0,-0
0.11502,0.81553,0.81553,0.19657,0.81553,0.19667,0,-0
0.11252,0.81553,0.81553,0.19407,0.81553,0.19417,0,-0
0.11252,0.81553,0.81553,0.18907,0.81553,0.18917,0,-0
0.11502,0.81553,0.81553,0.18907,0.81553,0.18917,0,-0
0.12086,0.81553,0.81553,0.19907,0.81553,0.19917,0,-0
0.12336,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.12086,0.81553,0.81553,0.19741,0.81553,0.1975,0,-0
0.076109,0.67042,0.67042,0.16244,0.67042,0.1625,0,-0
0.11669,0.81553,0.81553,0.19907,0.81553,0.19917,0,-0
0.11669,0.81553,0.81553,0.19324,0.81553,0.19333,0,-0
0.11669,0.81553,0.81553,0.19491,0.81553,0.195,0,-0
0.11336,0.81553,0.81553,0.19157,0.81553,0.19167,0,-0
0.11669,0.81553,0.81553,0.19491,0.81553,0.195,0,-0
0.11586,0.81553,0.81553,0.19407,0.81553,0.19417,0,-0
0.12002,0.81553,0.81553,0.19407,0.81553,0.19417,0,-0
0.11252,0.81553,0.81553,0.19074,0.81553,0.19083,0,-0
0.10919,0.81553,0.81553,0.19074,0.81553,0.19083,0,-0
0.11336,0.81553,0.81553,0.19074,0.81553,0.19083,0,-0
0.11336,0.81553,0.81553,0.18741,0.81553,0.1875,0,-0
0.11252,0.81553,0.81553,0.18324,0.81553,0.18333,0,-0
0.11086,0.81553,0.81553,0.18907,0.81553,0.18917,0,-0
0.11086,0.81553,0.81553,0.18907,0.81553,0.18917,0,-0
0.11836,0.81553,0.81553,0.18907,0.81553,0.18917,0,-0
0.11252,0.81553,0.81553,0.18907,0.81553,0.18917,0,-0
0.12002,0.81553,0.81553,0.19657,0.81553,0.19667,0,-0
0.11586,0.81553,0.81553,0.19407,0.81553,0.19417,0,-0
0.11586,0.81553,0.81553,0.19407,0.81553,0.19417,0,-0
0.10919,0.81553,0.81553,0.18657,0.81553,0.18667,0,-0
0.10836,0.81553,0.81553,0.18991,0.81553,0.19,0,-0
0.11752,0.81553,0.81553,0.19157,0.81553,0.19167,0,-0
0.11669,0.81553,0.81553,0.18741,0.81553,0.1875,0,-0
0.12086,0.81553,0.81553,0.19491,0.81553,0.195,0,-0
0.11252,0.81553,0.81553,0.19491,0.81553,0.195,0,-0
0.11336,0.81553,0.81553,0.19157,0.81553,0.19167,0,-0
0.11336,0.81553,0.81553,0.19157,0.81553,0.19167,0,-0
0.11336,0.81553,0.81553,0.19157,0.81553,0.19167,0,-0
0.11669,0.81553,0.81553,0.18741,0.81553,0.1875,0,-0
0.11669,0.81553,0.81553,0.19491,0.81553,0.195,0,-0
0.11586,0.81553,0.81553,0.19407,0.81553,0.19417,0,-0
0.11419,0.81553,0.81553,0.18824,0.81553,0.18833,0,-0
0.11419,0.81553,0.81553,0.19657,0.81553,0.19667,0,-0
0.11502,0.81553,0.81553,0.19241,0.81553,0.1925,0,-0
0.12086,0.81553,0.81553,0.19241,0.81553,0.1925,0,-0
0.11252,0.81553,0.81553,0.19324,0.81553,0.19333,0,-0
0.11669,0.81553,0.81553,0.19491,0.81553,0.195,0,-0
