RiseTime,SettlingMax,SettlingMin,SettlingTime,Peak,PeakTime,Overshoot,Undershoot
0.046226,1.0015,0.90271,0.094162,1.0015,0.14167,0.11408,-0
0.047892,1.0015,0.90271,0.094162,1.0015,0.14167,0.11408,-0
0.047059,1.0015,0.90271,0.093328,1.0015,0.14833,0.11408,-0
0.053726,1.0015,0.90271,0.094162,1.0015,0.14167,0.11408,-0
0.047059,1.0015,0.90271,0.094162,1.0015,0.14833,0.11408,-0
0.047059,1.0015,0.90271,0.10166,1.0015,0.14833,0.11408,-0
0.047892,1.0015,0.90271,0.1025,1.0015,0.14917,0.11408,-0
0.047892,1.0015,0.90271,0.094162,1.0015,0.14417,0.11408,-0
0.055392,1.0015,0.90271,0.10166,1.0015,0.14833,0.11408,-0
0.047892,1.0015,0.90271,0.094162,1.0015,0.14167,0.11408,-0
0.054559,1.0015,0.90271,0.1025,1.0015,0.1425,0.11408,-0
0.047059,1.0015,0.90271,0.097495,1.0015,0.14,0.11408,-0
0.047059,1.0015,0.90271,0.10166,1.0015,0.14167,0.11408,-0
0.050392,1.0015,0.90271,0.094162,1.0015,0.14167,0.11408,-0
0.047059,1.0015,0.90271,0.087495,1.0015,0.13333,0.11408,-0
0.047059,1.0015,0.90271,0.093328,1.0015,0.14,0.11408,-0
0.040392,1.0015,0.90271,0.087495,1.0015,0.13333,0.11408,-0
0.043726,1.0015,0.90271,0.094162,1.0015,0.14167,0.11408,-0
0.040392,1.0015,0.90271,0.086662,1.0015,0.13333,0.11408,-0
0.047059,1.0015,0.90271,0.089995,1.0015,0.1375,0.11408,-0
0.046226,1.0015,0.90271,0.086662,1.0015,0.13333,0.11408,-0
0.047059,1.0015,0.90271,0.094162,1.0015,0.13417,0.11408,-0
0.046226,1.0015,0.90271,0.093328,1.0015,0.13917,0.11408,-0
0.047892,1.0015,0.90271,0.094162,1.0015,0.13333,0.11408,-0
0.047059,1.0015,0.90271,0.093328,1.0015,0.14,0.11408,-0
0.047059,1.0015,0.90271,0.087495,1.0015,0.13333,0.11408,-0
0.047059,1.0015,0.90271,0.093328,1.0015,0.14,0.11408,-0
0.040392,1.0015,0.90271,0.086662,1.0015,0.13333,0.11408,-0
0.047059,1.0015,0.90271,0.094162,1.0015,0.14,0.11408,-0
0.039559,1.0015,0.90271,0.086662,1.0015,0.13333,0.11408,-0
0.047892,1.0015,0.90271,0.093328,1.0015,0.14,0.11408,-0
0.046226,1.0015,0.90271,0.086662,1.0015,0.13333,0.11408,-0
0.047059,1.0015,0.90271,0.093328,1.0015,0.14083,0.11408,-0
0.047059,1.0015,0.90271,0.093328,1.0015,0.14,0.11408,-0
0.046226,1.0015,0.90271,0.094162,1.0015,0.14167,0.11408,-0
0.047892,1.0015,0.90271,0.094162,1.0015,0.14167,0.11408,-0
0.047059,1.0015,0.90271,0.093328,1.0015,0.14,0.11408,-0
0.047059,1.0015,0.90271,0.094162,1.0015,0.14,0.11408,-0
0.047892,1.0015,0.90271,0.094162,1.0015,0.14167,0.11408,-0
0.047892,1.0015,0.90271,0.094162,1.0015,0.14167,0.11408,-0
0.047892,1.0015,0.90271,0.094162,1.0015,0.14167,0.11408,-0
0.047059,1.0015,0.90271,0.093328,1.0015,0.14,0.11408,-0
